wkt_geom,RAILID,RAILNAME,RAILTYPE,BRITUNNAME,異動日期_西元年月,SOURCE,DEFINITION,坐標系統
"MultiLineString ((230387.03699999954551458 2727043.66300000064074993, 230387.49700000043958426 2727044.46299999952316284, 230387.89499999955296516 2727045.15699999965727329, 230388.45100000035017729 2727046.15399999916553497, 230389.45199999958276749 2727047.95399999991059303, 230389.99600000027567148 2727048.9330000001937151))",K0000000166,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((237473.07000000029802322 2727299.09699999913573265, 237473.83000000007450581 2727330.53199999965727329, 237475.85800000000745058 2727413.67600000090897083, 237476.88999999966472387 2727452.77500000037252903, 237477.66700000036507845 2727477.47599999979138374))",K0000000269,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((237898.82000000029802322 2730581.08300000056624413, 237883.64900000020861626 2730407.80199999921023846))",K0000000229,臺鐵縱貫線(北段),2,,202001,0,0,TM2
"MultiLineString ((237979.46100000012665987 2736037.81499999947845936, 238020.35599999967962503 2736068.88599999994039536, 238088.03100000042468309 2736120.84500000067055225, 238132.98099999967962503 2736154.56799999997019768, 238170.21399999968707561 2736183.00599999912083149, 238170.53100000042468309 2736183.24899999983608723, 238262.78799999970942736 2736253.71499999985098839, 238293.79999999981373549 2736274.68200000002980232, 238294.02500000037252903 2736274.8340000007301569, 238294.04090000037103891 2736274.84490000084042549, 238294.04299999959766865 2736274.84699999913573265))",K0000000286,臺鐵縱貫線(北段),2,,202106,0,0,TM2
"MultiLineString ((238001.50200000032782555 2731090.96399999968707561, 237994.84399999957531691 2731101.08899999968707561, 237985.29700000025331974 2731118.14499999955296516, 237977.14900000020861626 2731138.27800000086426735, 237969.61600000038743019 2731162.60500000044703484))",K0000000151,,2,,202001,0,0,TM2
"MultiLineString ((225368.91299999970942736 2722823.81200000084936619, 225368.96399999968707561 2722823.81200000084936619, 225371.47599999979138374 2722823.80100000090897083, 225371.79999999981373549 2722823.80000000074505806, 225374.06199999991804361 2722823.78999999910593033, 225374.38200000021606684 2722823.78800000064074993, 225374.90899999998509884 2722823.78600000031292439))",K0000000162,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((232287.34300000034272671 2721819.303999999538064, 232289.62899999972432852 2721822.08799999952316284, 232487.61400000005960464 2722059.428999999538064, 232509.83200000040233135 2722083.16100000031292439, 232511.19900000002235174 2722084.62199999950826168, 232512.56599999964237213 2722086.08200000040233135, 232547.09999999962747097 2722122.97000000067055225, 232547.68599999975413084 2722123.59600000083446503))",K0000000260,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((236657.11010000016540289 2728096.94209999963641167, 236657.82309999968856573 2728097.31589999981224537, 236678.59599999990314245 2728108.20600000023841858, 236740.87600000016391277 2728144.18799999915063381, 236793.80499999970197678 2728180.00699999928474426, 236852.70100000035017729 2728226.6640000008046627, 236868.23199999984353781 2728240.30000000074505806))",K0000000288,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((227147.58800000045448542 2722141.4330000001937151, 227185.46499999985098839 2722140.64800000004470348, 227221.36400000005960464 2722142.00899999961256981, 227246.39199999999254942 2722144.35199999995529652))",K0000000187,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((237472.84700000006705523 2727289.87099999934434891, 237472.91199999954551458 2727292.58200000040233135, 237472.97599999979138374 2727295.22199999913573265, 237472.97800000011920929 2727295.29299999959766865, 237473.07000000029802322 2727299.09699999913573265))",K0000000248,臺鐵臺中線(山線),1,,202001,0,0,TM2
